#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Jul 27 02:00:43 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.166.9.185,entry is 103.166.9.26
103.166.9.187,entry is 103.166.9.26
103.166.9.194,
103.166.9.196,entry is 103.166.9.50
103.166.9.200,entry is 103.166.9.50
103.166.9.223,entry is 103.166.9.26
103.166.9.241,entry is 103.166.9.26
103.166.9.248,entry is 103.166.9.26
103.166.90.86,
103.167.116.166,entry is 103.167.116.216
103.167.116.186,entry is 160.250.73.26
103.167.156.22,entry is 103.167.156.90
103.167.156.96,entry is 103.167.156.202
103.167.170.70,
103.167.170.83,
103.167.171.147,
103.167.171.149,
103.167.171.151,
103.167.171.62,
103.167.176.106,entry is 103.93.193.141
103.167.176.178,entry is 202.179.88.233
103.167.229.147,
103.167.30.238,
103.167.40.54,
103.167.61.162,
103.167.68.84,
103.168.123.93,entry is 103.168.123.92
103.168.149.60,entry is 103.168.149.52
103.168.185.254,entry is 103.168.185.249
103.168.246.3,
103.168.254.53,entry is 103.168.254.81
103.168.44.101,
103.169.128.157,
103.169.130.130,
103.169.130.154,
103.169.132.14,
103.169.132.2,
103.169.132.70,
103.169.132.86,
103.169.133.14,
103.169.138.14,entry is 103.169.138.27
103.169.154.4,
103.169.186.155,
103.169.186.159,
103.169.186.161,
103.169.186.191,
103.169.186.205,entry is 103.169.186.203
103.169.187.31,
103.169.187.45,
103.169.187.60,entry is 103.169.187.59
103.169.189.174,entry is 103.169.189.125
103.169.24.202,entry is 103.168.44.101
103.169.254.45,entry is 103.169.255.201
103.169.254.75,
103.169.255.128,entry is 103.169.255.194
103.169.26.114,
103.169.39.198,entry is 103.169.38.66
103.169.41.214,
103.169.41.33,
103.169.53.145,
103.169.72.231,entry is 103.158.127.17
103.17.215.9,
103.17.246.60,
103.170.100.96,entry is 103.170.100.98
103.170.185.162,
103.170.22.145,
103.170.22.56,entry is 103.170.22.44
103.171.12.2,
103.171.151.179,
103.171.161.96,
103.171.183.5,entry is 103.171.183.255
103.171.183.53,entry is 103.171.183.146
103.171.183.71,entry is 103.171.183.222
103.171.183.73,entry is 103.171.183.129
103.171.194.52,
103.171.232.113,entry is 103.171.232.96
103.171.240.150,entry is 103.154.152.104
103.171.240.170,
103.171.240.174,
103.171.241.14,
103.171.241.18,
103.171.241.50,
103.171.244.172,entry is 103.171.245.104
103.171.254.26,
103.171.255.106,entry is 103.171.255.189
103.171.255.108,
103.171.255.109,
103.171.255.110,
103.171.255.114,
103.171.255.170,
103.171.255.178,
103.171.255.204,
103.171.255.242,
103.171.255.59,
103.171.31.77,
103.171.55.10,entry is 103.49.166.193
103.171.83.171,
103.171.83.49,
103.172.1.249,entry is 203.175.127.240
103.172.1.55,entry is 203.175.126.229
103.172.120.102,
103.172.120.219,entry is 103.172.121.61
103.172.121.28,
103.172.121.5,entry is 103.172.121.54
103.172.152.13,
103.172.17.96,entry is 103.172.17.51
103.172.18.38,
103.172.23.190,entry is 103.172.23.90
103.172.23.210,
103.172.23.70,
103.172.255.26,entry is 103.172.254.145
103.172.35.40,
103.172.42.105,
103.172.42.111,
103.172.42.125,
103.172.70.13,
103.172.70.145,entry is 45.198.10.82
103.172.70.195,
103.172.71.109,
103.172.71.113,
103.172.71.140,
103.172.71.187,
103.172.71.202,
103.172.71.204,
103.173.138.151,
103.173.138.201,
103.173.138.227,
103.173.138.239,entry is 103.173.138.125
103.173.139.220,
103.173.139.230,
103.173.140.133,
103.173.141.10,
103.173.142.254,
103.173.171.178,entry is 117.198.221.34
103.173.214.187,
103.173.72.29,entry is 103.173.72.24
103.173.72.3,entry is 103.177.199.25
103.174.122.173,
103.174.122.197,
103.174.122.232,entry is 103.174.122.230
103.174.122.70,entry is 103.174.122.244
103.174.122.92,entry is 103.174.122.88
103.174.123.4,
103.174.123.5,
103.174.145.46,entry is 103.174.145.97
103.174.161.6,
103.174.236.17,entry is 103.174.236.88
103.174.236.178,
103.174.236.67,
103.174.236.98,
103.174.237.128,entry is 103.174.237.107
103.174.237.69,
103.174.34.60,entry is 103.148.62.1
103.175.10.250,entry is 103.137.218.113
103.175.127.230,
103.175.157.77,
103.175.202.138,
103.175.202.163,
103.175.202.178,
103.175.202.182,
103.175.202.190,
103.175.225.37,entry is 103.125.56.83
103.175.236.138,
103.175.236.180,
103.175.237.228,
103.175.237.231,entry is 103.175.237.36
103.175.237.232,
103.175.237.234,
103.175.238.106,
103.175.238.110,
103.175.238.138,
103.175.238.193,entry is 103.175.238.102
103.175.240.42,
103.175.240.65,
103.175.240.87,
103.175.80.202,
103.175.80.54,
103.175.80.68,entry is 103.175.80.77
103.175.84.2,
103.176.94.14,
103.176.94.158,entry is 103.176.94.234
103.176.94.238,
103.176.96.134,
103.176.96.138,
103.176.96.23,
103.176.97.108,
103.176.97.112,
103.176.97.113,
103.176.97.119,
103.176.97.208,
103.176.97.223,
103.176.97.225,entry is 103.176.97.195
103.176.97.226,entry is 103.176.97.195
103.176.97.33,
103.177.10.253,
103.177.104.121,
103.177.153.42,
103.177.176.62,
103.177.199.61,entry is 103.177.199.69
103.177.20.27,
103.177.235.194,
103.177.235.207,
103.177.8.133,
